iter	Passed	Remaining
435	1697	2195
436	1703	2194
437	1706	2189
438	1708	2182
439	1710	2177
440	1712	2171
441	1718	2169
442	1721	2164
443	1723	2158
444	1726	2152
445	1730	2149
446	1735	2146
447	1737	2141
448	1740	2135
449	1742	2129
450	1749	2130
451	1752	2124
452	1754	2118
453	1759	2115
454	1762	2111
455	1765	2105
456	1767	2099
457	1769	2093
458	1772	2089
459	1774	2082
460	1775	2076
461	1777	2069
462	1780	2064
463	1782	2058
464	1784	2052
465	1789	2050
466	1791	2044
467	1795	2040
468	1797	2034
469	1799	2028
470	1805	2027
471	1807	2021
472	1811	2018
473	1813	2012
474	1819	2010
475	1821	2004
476	1824	2000
477	1827	1996
478	1830	1990
479	1835	1988
480	1837	1983
481	1840	1977
482	1849	1979
483	1852	1974
484	1854	1968
485	1856	1963
486	1858	1957
487	1867	1958
488	1869	1953
489	1871	1947
490	1881	1950
491	1884	1945
492	1886	1940
493	1888	1934
494	1894	1932
495	1898	1929
496	1901	1923
497	1903	1918
498	1908	1916
499	1914	1914
500	1916	1908
501	1918	1903
502	1923	1900
503	1926	1896
504	1931	1892
505	1939	1893
506	1945	1892
507	1948	1887
508	1953	1884
509	1957	1881
510	1959	1875
511	1962	1870
512	1964	1864
513	1969	1862
514	1971	1856
515	1973	1850
516	1974	1844
517	1976	1839
518	1978	1833
519	1983	1830
520	1985	1825
521	1986	1819
522	1988	1813
523	1989	1807
524	1992	1802
525	1993	1796
526	1999	1794
527	2001	1788
528	2002	1783
529	2004	1777
530	2006	1771
531	2007	1766
532	2012	1763
533	2016	1760
534	2019	1754
535	2021	1749
536	2023	1744
537	2025	1739
538	2028	1734
539	2030	1729
540	2032	1724
541	2034	1719
542	2040	1717
543	2049	1717
544	2061	1720
545	2063	1715
546	2068	1713
547	2071	1708
548	2075	1705
549	2077	1699
550	2079	1694
551	2083	1690
552	2085	1685
553	2087	1680
554	2091	1677
555	2094	1672
556	2114	1681
557	2117	1676
558	2119	1671
559	2120	1666
560	2123	1661
561	2125	1656
562	2131	1654
563	2133	1649
564	2135	1644
565	2139	1640
566	2143	1637
567	2146	1632
568	2148	1627
